"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"89","Law_unpub",2,"1",0.54520583152771,0.505,0.505,1,"-1",0.01,-0.01,"-1",0.34,0.01,-0.34,1
"90","Law_unpub",2,"0",0.700100183486938,-1,1,-1,"1",0.505,0.505,"1",0.01,0.34,0.01,1
"91","Law_unpub",2,"0",0.413049936294556,-1,1,-1,"-1",1,-1,"-1",0.34,0.01,-0.34,1
"92","Law_unpub",2,"1",0.811844110488892,-0.505,0.505,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"93","Law_unpub",2,"0",0.406867980957031,-1,1,-1,"-1",0.505,-0.505,"1",0.01,1,0.01,1
"94","Law_unpub",2,"1",0.300557851791382,0.505,0.505,1,"-1",1,-1,"-1",1,1,-1,1
"95","Law_unpub",2,"0",0.353505849838257,0.7525,0.7525,1,"1",0.505,0.505,"1",1,1,1,0
"96","Law_unpub",2,"0",0.926789045333862,-0.7525,0.7525,-1,"1",0.7525,0.7525,"-1",1,0.01,-1,1
"97","Law_unpub",2,"0",1.1557240486145,0.01,0.01,1,"-1",0.7525,-0.7525,"-1",0.01,0.34,-0.01,0
"98","Law_unpub",2,"1",0.602411985397339,0.01,0.01,1,"1",0.01,0.01,"-1",0.34,1,-0.34,1
"99","Law_unpub",2,"0",0.333775043487549,-0.505,0.505,-1,"1",0.01,0.01,"1",1,1,1,1
"100","Law_unpub",2,"0",0.990812063217163,-1,1,-1,"-1",0.505,-0.505,"-1",1,1,-1,1
"101","Law_unpub",2,"0",0.821219205856323,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"102","Law_unpub",2,"1",0.273221969604492,0.505,0.505,1,"-1",1,-1,"-1",1,1,-1,1
"103","Law_unpub",2,"0",0.225870847702026,-0.01,0.01,-1,"1",0.505,0.505,"1",1,1,1,1
"104","Law_unpub",2,"1",0.300191164016724,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",1,1,-1,0
"105","Law_unpub",2,"0",0.217000961303711,1,1,1,"-1",0.505,-0.505,"1",1,1,1,0
"106","Law_unpub",2,"1",0.337181091308594,0.505,0.505,1,"1",1,1,"-1",1,1,-1,1
"107","Law_unpub",2,"0",0.307292938232422,0.2575,0.2575,1,"1",0.505,0.505,"1",1,1,1,0
"108","Law_unpub",2,"1",0.961269855499268,-0.2575,0.2575,-1,"1",0.2575,0.2575,"-1",1,0.01,-1,0
"109","Law_unpub",2,"1",1.40350794792175,0.7525,0.7525,1,"-1",0.2575,-0.2575,"1",0.01,0.67,0.01,1
"110","Law_unpub",2,"0",0.592172861099243,-0.01,0.01,-1,"1",0.7525,0.7525,"1",0.67,0.67,0.67,1
"111","Law_unpub",2,"1",0.865411043167114,0.01,0.01,1,"-1",0.01,-0.01,"-1",0.67,0.34,-0.67,1
"112","Law_unpub",2,"0",0.804739952087402,0.505,0.505,1,"1",0.01,0.01,"1",0.34,0.67,0.34,0
"113","Law_unpub",2,"1",0.4706711769104,0.01,0.01,1,"1",0.505,0.505,"-1",0.67,1,-0.67,1
"114","Law_unpub",2,"0",0.261934041976929,0.505,0.505,1,"1",0.01,0.01,"1",1,1,1,0
"115","Law_unpub",2,"0",0.309505939483643,-1,1,-1,"1",0.505,0.505,"-1",1,1,-1,1
"116","Law_unpub",2,"0",0.252464056015015,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"117","Law_unpub",2,"0",0.225916862487793,-0.505,0.505,-1,"-1",1,-1,"-1",1,1,-1,1
"118","Law_unpub",2,"1",0.308206081390381,1,1,1,"-1",0.505,-0.505,"-1",1,1,-1,1
"119","Law_unpub",2,"0",0.419169902801514,-0.505,0.505,-1,"1",1,1,"1",1,1,1,1
"120","Law_unpub",2,"1",1.88315081596375,1,1,1,"-1",0.505,-0.505,"-1",1,1,-1,1
"121","Law_unpub",2,"1",0.655651092529297,0.505,0.505,1,"1",1,1,"1",1,1,1,1
"122","Law_unpub",2,"1",0.827380180358887,0.7525,0.7525,1,"1",0.505,0.505,"1",1,0.01,1,1
"123","Law_unpub",2,"0",0.648493051528931,-1,1,-1,"1",0.7525,0.7525,"1",0.01,1,0.01,1
"124","Law_unpub",2,"0",1.05913305282593,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"125","Law_unpub",2,"0",0.33903694152832,-0.505,0.505,-1,"-1",1,-1,"-1",1,1,-1,1
"126","Law_unpub",2,"0",0.31024694442749,-0.01,0.01,-1,"-1",0.505,-0.505,"-1",1,1,-1,1
"127","Law_unpub",2,"0",1.60421705245972,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"128","Law_unpub",2,"0",0.671534061431885,0.2575,0.2575,1,"-1",0.505,-0.505,"-1",0.01,1,-0.01,0
"129","Law_unpub",2,"1",0.644289970397949,0.01,0.01,1,"1",0.2575,0.2575,"-1",1,1,-1,1
"130","Law_unpub",2,"0",0.685999870300293,-0.01,0.01,-1,"1",0.01,0.01,"1",1,0.67,1,1
"131","Law_unpub",2,"1",0.357912063598633,0.505,0.505,1,"-1",0.01,-0.01,"-1",0.67,0.67,-0.67,1
"132","Law_unpub",2,"0",0.664557933807373,-0.2575,0.2575,-1,"1",0.505,0.505,"1",0.67,0.67,0.67,1
"133","Law_unpub",2,"0",0.541329145431519,-0.7525,0.7525,-1,"-1",0.2575,-0.2575,"-1",0.67,0.34,-0.67,1
"134","Law_unpub",2,"0",0.231130838394165,-1,1,-1,"-1",0.7525,-0.7525,"-1",0.34,0.67,-0.34,1
"135","Law_unpub",2,"1",0.818492889404297,0.505,0.505,1,"-1",1,-1,"-1",0.67,1,-0.67,1
"136","Law_unpub",2,"0",0.374487161636353,-0.01,0.01,-1,"1",0.505,0.505,"1",1,1,1,1
"137","Law_unpub",2,"0",0.855000019073486,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"138","Law_unpub",2,"0",0.776351928710938,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"139","Law_unpub",2,"0",0.308963060379028,-0.01,0.01,-1,"-1",0.505,-0.505,"-1",0.01,0.01,-0.01,1
"140","Law_unpub",2,"0",0.690867900848389,-0.505,0.505,-1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"141","Law_unpub",2,"0",0.675890922546387,-1,1,-1,"-1",0.505,-0.505,"-1",0.01,1,-0.01,1
"142","Law_unpub",2,"0",0.938765048980713,-1,1,-1,"-1",1,-1,"-1",1,0.01,-1,1
