"","study","subj","resp","rt","evidence","absevi","signevi","prevsignevi","prevabsevi","prevsignabsevi","prevresp","prevconf","conf","prevrespconf","accuracy"
"110","Recht_unpub",1,"1",0.641249895,1,1,1,"-1",1,-1,"-1",0.01,0.01,-0.01,1
"111","Recht_unpub",1,"1",1.411659002,-0.01,0.01,-1,"1",1,1,"1",0.01,0.01,0.01,0
"112","Recht_unpub",1,"1",3.802565098,0.01,0.01,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,1
"113","Recht_unpub",1,"0",0.721004009,-1,1,-1,"1",0.01,0.01,"1",0.01,1,0.01,1
"114","Recht_unpub",1,"0",0.781126022,-1,1,-1,"-1",1,-1,"-1",1,1,-1,1
"115","Recht_unpub",1,"1",0.761111975,0.01,0.01,1,"-1",1,-1,"-1",1,1,-1,1
"116","Recht_unpub",1,"0",1.030987978,-0.01,0.01,-1,"1",0.01,0.01,"1",1,0.01,1,1
"117","Recht_unpub",1,"0",0.941351891,1,1,1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,0
"118","Recht_unpub",1,"0",0.561151981,-0.01,0.01,-1,"1",1,1,"-1",0.01,1,-0.01,1
"119","Recht_unpub",1,"1",0.691231012,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"120","Recht_unpub",1,"0",0.761229038,-1,1,-1,"1",1,1,"1",0.01,0.01,0.01,1
"121","Recht_unpub",1,"0",0.700943947,-1,1,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,1
"122","Recht_unpub",1,"1",0.611311913,1,1,1,"-1",1,-1,"-1",0.01,1,-0.01,1
"123","Recht_unpub",1,"0",0.921181917,-0.01,0.01,-1,"1",1,1,"1",1,1,1,1
"124","Recht_unpub",1,"1",0.741332054,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,1,-1,1
"125","Recht_unpub",1,"0",2.261590004,1,1,1,"1",0.01,0.01,"1",1,0.01,1,0
"126","Recht_unpub",1,"1",0.721421957,0.01,0.01,1,"1",1,1,"-1",0.01,1,-0.01,1
"127","Recht_unpub",1,"0",1.761680126,0.01,0.01,1,"1",0.01,0.01,"1",1,0.01,1,0
"128","Recht_unpub",1,"1",0.671247006,1,1,1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"129","Recht_unpub",1,"0",0.971268177,-0.01,0.01,-1,"1",1,1,"1",1,1,1,1
"130","Recht_unpub",1,"1",0.771370888,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"131","Recht_unpub",1,"1",0.611238003,1,1,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,1
"132","Recht_unpub",1,"0",0.741243124,-0.01,0.01,-1,"1",1,1,"1",0.01,1,0.01,1
"133","Recht_unpub",1,"1",2.842061997,0.01,0.01,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"134","Recht_unpub",1,"0",0.751106024,-1,1,-1,"1",0.01,0.01,"1",0.01,1,0.01,1
"135","Recht_unpub",1,"0",0.841382027,1,1,1,"-1",1,-1,"-1",1,1,-1,0
"136","Recht_unpub",1,"0",0.591259956,-0.01,0.01,-1,"1",1,1,"-1",1,1,-1,1
"137","Recht_unpub",1,"1",1.561587095,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"138","Recht_unpub",1,"0",0.701200008,-1,1,-1,"-1",0.01,-0.01,"1",0.01,1,0.01,1
"139","Recht_unpub",1,"0",0.691002846,-0.01,0.01,-1,"-1",1,-1,"-1",1,1,-1,1
"140","Recht_unpub",1,"1",2.632381916,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"141","Recht_unpub",1,"0",0.721168041,-1,1,-1,"-1",0.01,-0.01,"1",0.01,1,0.01,1
"142","Recht_unpub",1,"0",1.751658917,0.01,0.01,1,"-1",1,-1,"-1",1,0.01,-1,0
"143","Recht_unpub",1,"0",0.951341867,1,1,1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,0
"144","Recht_unpub",1,"0",1.241403103,0.01,0.01,1,"1",1,1,"-1",0.01,0.01,-0.01,0
"145","Recht_unpub",1,"1",0.65133214,0.01,0.01,1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"146","Recht_unpub",1,"0",0.891150951,-0.01,0.01,-1,"1",0.01,0.01,"1",1,0.01,1,1
"147","Recht_unpub",1,"0",0.601191044,-1,1,-1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"148","Recht_unpub",1,"1",1.301461935,0.01,0.01,1,"-1",1,-1,"-1",1,1,-1,1
"149","Recht_unpub",1,"1",0.572027206,1,1,1,"1",0.01,0.01,"1",1,1,1,1
"150","Recht_unpub",1,"1",0.80121088,-1,1,-1,"1",1,1,"1",1,1,1,0
"151","Recht_unpub",1,"1",1.011446953,-0.01,0.01,-1,"-1",1,-1,"1",1,1,1,0
"152","Recht_unpub",1,"1",0.781257868,-1,1,-1,"-1",0.01,-0.01,"1",1,0.01,1,0
"153","Recht_unpub",1,"0",2.372078896,0.01,0.01,1,"-1",1,-1,"1",0.01,0.01,0.01,0
"154","Recht_unpub",1,"0",0.971318007,-1,1,-1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"155","Recht_unpub",1,"1",2.822236061,1,1,1,"-1",1,-1,"-1",1,0.01,-1,1
"156","Recht_unpub",1,"1",1.091489077,1,1,1,"1",1,1,"1",0.01,1,0.01,1
"157","Recht_unpub",1,"1",0.611146927,0.01,0.01,1,"1",1,1,"1",1,1,1,1
"158","Recht_unpub",1,"0",1.491473913,1,1,1,"1",0.01,0.01,"1",1,0.01,1,0
"159","Recht_unpub",1,"0",0.94114995,-1,1,-1,"1",1,1,"-1",0.01,1,-0.01,1
"160","Recht_unpub",1,"0",2.942331076,0.01,0.01,1,"-1",1,-1,"-1",1,0.01,-1,0
"161","Recht_unpub",1,"1",0.701264143,-1,1,-1,"1",0.01,0.01,"-1",0.01,1,-0.01,0
"162","Recht_unpub",1,"0",2.05183816,1,1,1,"-1",1,-1,"1",1,0.01,1,0
"163","Recht_unpub",1,"0",0.671046019,-1,1,-1,"1",1,1,"-1",0.01,0.01,-0.01,1
"164","Recht_unpub",1,"0",0.961386919,0.01,0.01,1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"165","Recht_unpub",1,"0",1.761538982,-0.01,0.01,-1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,1
"166","Recht_unpub",1,"1",0.751265049,0.01,0.01,1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"167","Recht_unpub",1,"0",2.18186307,0.01,0.01,1,"1",0.01,0.01,"1",1,0.01,1,0
"168","Recht_unpub",1,"0",1.161517143,1,1,1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,0
"169","Recht_unpub",1,"0",0.751172066,-1,1,-1,"1",1,1,"-1",0.01,0.01,-0.01,1
"170","Recht_unpub",1,"0",1.201484919,0.01,0.01,1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"171","Recht_unpub",1,"0",1.03137517,-0.01,0.01,-1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,1
"172","Recht_unpub",1,"1",1.161231995,1,1,1,"-1",0.01,-0.01,"-1",0.01,0.01,-0.01,1
"173","Recht_unpub",1,"1",0.881279945,-1,1,-1,"1",1,1,"1",0.01,0.01,0.01,0
"174","Recht_unpub",1,"1",1.421657085,1,1,1,"-1",1,-1,"1",0.01,0.01,0.01,1
"175","Recht_unpub",1,"0",2.471913099,-1,1,-1,"1",1,1,"1",0.01,0.01,0.01,1
"176","Recht_unpub",1,"1",1.081515074,-0.01,0.01,-1,"-1",1,-1,"-1",0.01,1,-0.01,0
"177","Recht_unpub",1,"1",0.841466904,0.01,0.01,1,"-1",0.01,-0.01,"1",1,1,1,1
"178","Recht_unpub",1,"1",0.631201029,0.01,0.01,1,"1",0.01,0.01,"1",1,1,1,1
"179","Recht_unpub",1,"1",1.331490994,-0.01,0.01,-1,"1",0.01,0.01,"1",1,1,1,0
"180","Recht_unpub",1,"1",0.691352129,0.01,0.01,1,"-1",0.01,-0.01,"1",1,1,1,1
"181","Recht_unpub",1,"1",0.501161099,1,1,1,"1",0.01,0.01,"1",1,1,1,1
"182","Recht_unpub",1,"1",0.571165085,0.01,0.01,1,"1",1,1,"1",1,1,1,1
"183","Recht_unpub",1,"0",0.921323061,-0.01,0.01,-1,"1",0.01,0.01,"1",1,1,1,1
"184","Recht_unpub",1,"1",0.931442976,-1,1,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"185","Recht_unpub",1,"0",0.961391926,-0.01,0.01,-1,"-1",1,-1,"1",0.01,1,0.01,1
"186","Recht_unpub",1,"0",0.701115847,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"187","Recht_unpub",1,"1",0.841258049,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"188","Recht_unpub",1,"0",0.88105607,-1,1,-1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,1
"189","Recht_unpub",1,"1",0.831424952,-0.01,0.01,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"190","Recht_unpub",1,"1",0.781257153,1,1,1,"-1",0.01,-0.01,"1",0.01,1,0.01,1
"191","Recht_unpub",1,"0",0.760972023,-1,1,-1,"1",1,1,"1",1,1,1,1
"192","Recht_unpub",1,"0",1.711512089,1,1,1,"-1",1,-1,"-1",1,1,-1,0
"193","Recht_unpub",1,"1",0.561245918,1,1,1,"1",1,1,"-1",1,1,-1,1
"194","Recht_unpub",1,"1",1.011546135,-1,1,-1,"1",1,1,"1",1,0.01,1,0
"195","Recht_unpub",1,"0",1.861717939,-1,1,-1,"-1",1,-1,"1",0.01,0.01,0.01,1
"196","Recht_unpub",1,"0",0.971456766,0.01,0.01,1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"197","Recht_unpub",1,"0",1.051225185,-0.01,0.01,-1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,1
"198","Recht_unpub",1,"1",0.801304817,1,1,1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"199","Recht_unpub",1,"1",0.981472969,1,1,1,"1",1,1,"1",1,1,1,1
"200","Recht_unpub",1,"1",0.661509037,1,1,1,"1",1,1,"1",1,1,1,1
"201","Recht_unpub",1,"1",1.721823931,0.01,0.01,1,"1",1,1,"1",1,0.01,1,1
"202","Recht_unpub",1,"0",1.791820049,-1,1,-1,"1",0.01,0.01,"1",0.01,1,0.01,1
"203","Recht_unpub",1,"1",4.762994051,1,1,1,"-1",1,-1,"-1",1,0.01,-1,1
"204","Recht_unpub",1,"1",1.541604042,-1,1,-1,"1",1,1,"1",0.01,0.01,0.01,0
"205","Recht_unpub",1,"0",1.171452999,-0.01,0.01,-1,"-1",1,-1,"1",0.01,1,0.01,1
"206","Recht_unpub",1,"0",1.071404934,-0.01,0.01,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"207","Recht_unpub",1,"1",0.81133008,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"208","Recht_unpub",1,"1",2.201978922,0.01,0.01,1,"1",1,1,"1",0.01,1,0.01,1
"209","Recht_unpub",1,"1",2.021782875,0.01,0.01,1,"1",0.01,0.01,"1",1,0.01,1,1
"210","Recht_unpub",1,"0",3.242151976,-1,1,-1,"1",0.01,0.01,"1",0.01,1,0.01,1
"211","Recht_unpub",1,"0",1.311480999,-0.01,0.01,-1,"-1",1,-1,"-1",1,1,-1,1
"212","Recht_unpub",1,"0",1.521542072,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,0
"213","Recht_unpub",1,"0",1.341421843,-1,1,-1,"1",1,1,"-1",0.01,1,-0.01,1
"214","Recht_unpub",1,"0",1.441401005,-0.01,0.01,-1,"-1",1,-1,"-1",1,1,-1,1
"215","Recht_unpub",1,"0",0.891172886,-1,1,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"216","Recht_unpub",1,"0",0.771299124,-1,1,-1,"-1",1,-1,"-1",1,0.01,-1,1
"217","Recht_unpub",1,"1",3.042383909,-0.01,0.01,-1,"-1",1,-1,"-1",0.01,0.01,-0.01,0
"218","Recht_unpub",1,"0",1.481473923,1,1,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
"219","Recht_unpub",1,"1",0.93118906,-1,1,-1,"1",1,1,"-1",0.01,1,-0.01,0
"220","Recht_unpub",1,"0",0.981302023,-1,1,-1,"-1",1,-1,"1",1,0.01,1,1
"221","Recht_unpub",1,"1",0.871402025,1,1,1,"-1",1,-1,"-1",0.01,1,-0.01,1
"222","Recht_unpub",1,"1",0.881273985,0.01,0.01,1,"1",1,1,"1",1,1,1,1
"223","Recht_unpub",1,"1",1.570948124,-0.01,0.01,-1,"1",0.01,0.01,"1",1,0.01,1,0
"224","Recht_unpub",1,"1",1.191595078,-0.01,0.01,-1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
"225","Recht_unpub",1,"1",4.592902899,-0.01,0.01,-1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,0
"226","Recht_unpub",1,"1",0.751413107,1,1,1,"-1",0.01,-0.01,"1",0.01,0.01,0.01,1
"227","Recht_unpub",1,"0",1.581506968,0.01,0.01,1,"1",1,1,"1",0.01,0.01,0.01,0
"228","Recht_unpub",1,"1",0.881525993,1,1,1,"1",0.01,0.01,"-1",0.01,1,-0.01,1
"229","Recht_unpub",1,"1",2.791992903,0.01,0.01,1,"1",1,1,"1",1,0.01,1,1
"230","Recht_unpub",1,"1",0.931242943,-0.01,0.01,-1,"1",0.01,0.01,"1",0.01,1,0.01,0
"231","Recht_unpub",1,"0",1.151462078,0.01,0.01,1,"-1",0.01,-0.01,"1",1,0.01,1,0
"232","Recht_unpub",1,"1",0.951287985,1,1,1,"1",0.01,0.01,"-1",0.01,0.01,-0.01,1
"233","Recht_unpub",1,"0",0.900348902,-0.01,0.01,-1,"1",1,1,"1",0.01,1,0.01,1
"234","Recht_unpub",1,"1",2.871942997,1,1,1,"-1",0.01,-0.01,"-1",1,0.01,-1,1
"235","Recht_unpub",1,"1",0.87129879,0.01,0.01,1,"1",1,1,"1",0.01,1,0.01,1
"236","Recht_unpub",1,"0",0.841168881,-1,1,-1,"1",0.01,0.01,"1",1,0.01,1,1
"237","Recht_unpub",1,"1",0.611454964,0.01,0.01,1,"-1",1,-1,"-1",0.01,1,-0.01,1
"238","Recht_unpub",1,"1",0.701263905,0.01,0.01,1,"1",0.01,0.01,"1",1,1,1,1
"239","Recht_unpub",1,"0",0.981283903,-1,1,-1,"1",0.01,0.01,"1",1,1,1,1
"240","Recht_unpub",1,"0",0.781198025,-0.01,0.01,-1,"-1",1,-1,"-1",1,0.01,-1,1
"241","Recht_unpub",1,"1",0.761425018,1,1,1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"242","Recht_unpub",1,"0",0.910941124,-0.01,0.01,-1,"1",1,1,"1",1,1,1,1
"243","Recht_unpub",1,"0",1.101301193,-1,1,-1,"-1",0.01,-0.01,"-1",1,1,-1,1
"244","Recht_unpub",1,"0",1.060651064,-0.01,0.01,-1,"-1",1,-1,"-1",1,0.01,-1,1
"245","Recht_unpub",1,"1",0.681382179,1,1,1,"-1",0.01,-0.01,"-1",0.01,1,-0.01,1
"246","Recht_unpub",1,"0",0.971410036,-1,1,-1,"1",1,1,"1",1,1,1,1
"247","Recht_unpub",1,"1",0.831265926,0.01,0.01,1,"-1",1,-1,"-1",1,1,-1,1
