Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
92,Wang_2018,3,0,0.76508,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.41315672
93,Wang_2018,3,1,0.23874,0.67,0.67,1.0,-1.0,1.0,-1.0,-1,0.505,1.0,-0.505,1,-0.40950286
94,Wang_2018,3,1,0.83617,1.0,1.0,1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.41640303
95,Wang_2018,3,1,0.55074,0.67,0.67,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.4353216
96,Wang_2018,3,0,0.26958,-0.67,0.67,-1.0,1.0,0.67,0.67,1,1.0,0.505,1.0,1,-0.4819373
97,Wang_2018,3,0,0.4151,0.34,0.34,1.0,-1.0,0.67,-0.67,-1,0.505,0.505,-0.505,0,-0.516972
98,Wang_2018,3,1,0.66181,1e-05,0.01,0.001,1.0,0.34,0.34,-1,0.505,1.0,-0.505,0,-0.47401595
99,Wang_2018,3,0,0.43536,-0.34,0.34,-1.0,0.001,0.01,1e-05,1,1.0,1.0,1.0,1,-0.5045167
100,Wang_2018,3,0,0.37696,-1.0,1.0,-1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.5033416
101,Wang_2018,3,0,0.56505,1e-05,0.01,0.001,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,0,-0.5025608
102,Wang_2018,3,1,0.5507,-0.34,0.34,-1.0,0.001,0.01,1e-05,-1,1.0,0.505,-1.0,0,-0.43992603
103,Wang_2018,3,0,0.23382,-0.34,0.34,-1.0,-1.0,0.34,-0.34,1,0.505,0.505,0.505,1,-0.4745357
104,Wang_2018,3,0,0.86981,0.34,0.34,1.0,-1.0,0.34,-0.34,-1,0.505,1.0,-0.505,0,-0.4752852
105,Wang_2018,3,1,0.51018,-0.67,0.67,-1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.39438644
106,Wang_2018,3,0,0.011539,-0.67,0.67,-1.0,-1.0,0.67,-0.67,1,1.0,1.0,1.0,1,-0.41877496
107,Wang_2018,3,0,0.55038,-0.34,0.34,-1.0,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,1,-0.41223067
108,Wang_2018,3,1,0.25444,1e-05,0.01,0.001,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,0,-0.36803842
109,Wang_2018,3,1,0.55193,0.34,0.34,1.0,0.001,0.01,1e-05,1,1.0,1.0,1.0,1,-0.38386512
110,Wang_2018,3,0,0.26262,-0.34,0.34,-1.0,1.0,0.34,0.34,1,1.0,0.505,1.0,1,-0.4393225
111,Wang_2018,3,1,0.47464,0.67,0.67,1.0,-1.0,0.34,-0.34,-1,0.505,1.0,-0.505,1,-0.45920518
112,Wang_2018,3,1,0.32661,1.0,1.0,1.0,1.0,0.67,0.67,1,1.0,1.0,1.0,1,-0.49900478
113,Wang_2018,3,0,0.41228,0.67,0.67,1.0,1.0,1.0,1.0,1,1.0,0.505,1.0,0,-0.55599326
114,Wang_2018,3,1,1.1257,1.0,1.0,1.0,1.0,0.67,0.67,-1,0.505,1.0,-0.505,1,-0.5307386
115,Wang_2018,3,1,0.46956,0.67,0.67,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,-0.51700854
116,Wang_2018,3,0,0.53216,1e-05,0.01,0.001,1.0,0.67,0.67,1,1.0,1.0,1.0,0,-0.5371759
117,Wang_2018,3,1,0.311,0.34,0.34,1.0,0.001,0.01,1e-05,-1,1.0,1.0,-1.0,1,-0.5171429
118,Wang_2018,3,0,0.90568,0.67,0.67,1.0,1.0,0.34,0.34,1,1.0,0.505,1.0,0,-0.550752
119,Wang_2018,3,0,0.7631,-1.0,1.0,-1.0,1.0,0.67,0.67,-1,0.505,1.0,-0.505,1,-0.48807174
120,Wang_2018,3,1,0.73798,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.4174585
121,Wang_2018,3,1,1.106,1e-05,0.01,0.001,1.0,1.0,1.0,1,1.0,1.0,1.0,0,-0.34672347
122,Wang_2018,3,1,1.0099,0.34,0.34,1.0,0.001,0.01,1e-05,1,1.0,1.0,1.0,1,-0.34391332
123,Wang_2018,3,0,1.2139,-1.0,1.0,-1.0,1.0,0.34,0.34,1,1.0,1.0,1.0,1,-0.37575358
124,Wang_2018,3,0,0.7754,-0.67,0.67,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.3896151
125,Wang_2018,3,1,0.71178,-0.34,0.34,-1.0,-1.0,0.67,-0.67,-1,0.505,0.505,-0.505,0,-0.37392288
126,Wang_2018,3,0,0.26647,-1.0,1.0,-1.0,-1.0,0.34,-0.34,1,0.505,1.0,0.505,1,-0.44501486
127,Wang_2018,3,0,0.73857,-0.34,0.34,-1.0,-1.0,1.0,-1.0,-1,1.0,0.505,-1.0,1,-0.49781382
128,Wang_2018,3,0,0.2398,-0.67,0.67,-1.0,-1.0,0.34,-0.34,-1,0.505,1.0,-0.505,1,-0.5169113
129,Wang_2018,3,1,0.2028,1e-05,0.01,0.001,-1.0,0.67,-0.67,-1,1.0,1.0,-1.0,0,-0.5188575
130,Wang_2018,3,0,0.45754,0.34,0.34,1.0,0.001,0.01,1e-05,1,1.0,1.0,1.0,0,-0.59567976
131,Wang_2018,3,0,0.38051,0.67,0.67,1.0,1.0,0.34,0.34,-1,1.0,1.0,-1.0,0,-0.60680515
132,Wang_2018,3,1,0.36075,0.67,0.67,1.0,1.0,0.67,0.67,-1,1.0,1.0,-1.0,1,-0.52928275
133,Wang_2018,3,1,0.83297,0.34,0.34,1.0,1.0,0.67,0.67,1,1.0,0.505,1.0,1,-0.48440474
134,Wang_2018,3,0,0.10122,-0.34,0.34,-1.0,1.0,0.34,0.34,1,0.505,1.0,0.505,1,-0.48894835
135,Wang_2018,3,0,0.25978,-0.67,0.67,-1.0,-1.0,0.34,-0.34,-1,1.0,1.0,-1.0,1,-0.4690599
