Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
3724,Recht_unpub,3,0,1.791589022,-0.01,0.01,-1,-1,1.0,-1.0,-1,0.01,0.01,-0.01,1,-0.2593741
3725,Recht_unpub,3,0,1.581644058,0.01,0.01,1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,0,-0.23647746
3726,Recht_unpub,3,1,0.431025028,0.01,0.01,1,1,0.01,0.01,-1,0.01,1.0,-0.01,1,-0.16472174
3727,Recht_unpub,3,0,1.311505079,-0.01,0.01,-1,1,0.01,0.01,1,1.0,0.01,1.0,1,-0.16989855
3728,Recht_unpub,3,1,1.091361046,0.01,0.01,1,-1,0.01,-0.01,-1,0.01,0.01,-0.01,1,-0.11477797
3729,Recht_unpub,3,0,2.191973925,-0.01,0.01,-1,1,0.01,0.01,1,0.01,1.0,0.01,1,-0.13364856
3730,Recht_unpub,3,1,1.43154192,1.0,1.0,1,-1,0.01,-0.01,-1,1.0,1.0,-1.0,1,-0.09725373
3731,Recht_unpub,3,0,1.381531954,-0.01,0.01,-1,1,1.0,1.0,1,1.0,1.0,1.0,1,-0.09284272
3732,Recht_unpub,3,1,2.942108154,-1.0,1.0,-1,-1,0.01,-0.01,-1,1.0,1.0,-1.0,0,-0.014142158
3733,Recht_unpub,3,1,1.091525078,0.01,0.01,1,-1,1.0,-1.0,1,1.0,1.0,1.0,1,-0.039102457
3734,Recht_unpub,3,0,3.282212973,1.0,1.0,1,1,0.01,0.01,1,1.0,0.01,1.0,0,-0.12992351
3735,Recht_unpub,3,1,2.402040958,1.0,1.0,1,1,1.0,1.0,-1,0.01,1.0,-0.01,1,-0.11191824
3736,Recht_unpub,3,0,2.9720819,-1.0,1.0,-1,1,1.0,1.0,1,1.0,0.01,1.0,1,-0.12786786
3737,Recht_unpub,3,0,1.121297121,-1.0,1.0,-1,-1,1.0,-1.0,-1,0.01,1.0,-0.01,1,-0.12154579
3738,Recht_unpub,3,0,1.011367083,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.094026946
3739,Recht_unpub,3,1,1.071482182,1.0,1.0,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.04598304
3740,Recht_unpub,3,1,1.061611891,-0.01,0.01,-1,1,1.0,1.0,1,1.0,1.0,1.0,0,-0.029013354
3741,Recht_unpub,3,0,2.92205596,-0.01,0.01,-1,-1,0.01,-0.01,1,1.0,0.01,1.0,1,-0.06549955
