Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
12331,Adler_2018_Expt1_taskB,6,0,0.34424645873878,-0.016484132029976,0.016484132029976,-1,1,0.0263079490082784,0.0263079490082784,-1,0.67,0.67,-0.67,1,0.25684097
12332,Adler_2018_Expt1_taskB,6,0,0.537611154479237,0.010604912460505,0.010604912460505,1,-1,0.016484132029976,-0.016484132029976,-1,0.67,0.67,-0.67,0,0.24238776
12333,Adler_2018_Expt1_taskB,6,0,0.53891585454403,-0.01061809331717,0.01061809331717,-1,1,0.010604912460505,0.010604912460505,-1,0.67,0.34,-0.67,1,0.26834032
12334,Adler_2018_Expt1_taskB,6,0,0.606999196268589,-0.0108359160366531,0.0108359160366531,-1,-1,0.01061809331717,-0.01061809331717,-1,0.34,0.34,-0.34,1,0.33133805
12335,Adler_2018_Expt1_taskB,6,1,1.02775726934124,0.16084271781753,0.16084271781753,1,-1,0.0108359160366531,-0.0108359160366531,-1,0.34,0.67,-0.34,1,0.44271246
12336,Adler_2018_Expt1_taskB,6,1,0.482985017759347,0.0665293778167582,0.0665293778167582,1,1,0.16084271781753,0.16084271781753,1,0.67,1.0,0.67,1,0.49608588
12337,Adler_2018_Expt1_taskB,6,1,0.515013993132015,0.259934185916738,0.259934185916738,1,1,0.0665293778167582,0.0665293778167582,1,1.0,1.0,1.0,1,0.5032923
12338,Adler_2018_Expt1_taskB,6,0,0.498319412898127,0.203972645786441,0.203972645786441,1,1,0.259934185916738,0.259934185916738,1,1.0,0.34,1.0,0,0.49220395
12339,Adler_2018_Expt1_taskB,6,1,0.581139964040631,0.127938516854351,0.127938516854351,1,1,0.203972645786441,0.203972645786441,-1,0.34,1.0,-0.34,1,0.59207827
12340,Adler_2018_Expt1_taskB,6,1,0.467713804995583,0.0650436707790842,0.0650436707790842,1,1,0.127938516854351,0.127938516854351,1,1.0,1.0,1.0,1,0.63686067
12341,Adler_2018_Expt1_taskB,6,1,0.599073816902091,0.051327793238404,0.051327793238404,1,1,0.0650436707790842,0.0650436707790842,1,1.0,1.0,1.0,1,0.64189917
12342,Adler_2018_Expt1_taskB,6,1,0.210669932050223,-0.0394601061285015,0.0394601061285015,-1,1,0.051327793238404,0.051327793238404,1,1.0,0.67,1.0,0,0.61666197
12343,Adler_2018_Expt1_taskB,6,0,0.553027975362056,-0.0112917161262366,0.0112917161262366,-1,-1,0.0394601061285015,-0.0394601061285015,1,0.67,0.34,0.67,1,0.5420372
12344,Adler_2018_Expt1_taskB,6,1,0.20847907508869,0.0113256186260184,0.0113256186260184,1,-1,0.0112917161262366,-0.0112917161262366,-1,0.34,1.0,-0.34,1,0.5676414
12345,Adler_2018_Expt1_taskB,6,1,0.379063156076882,0.0128394713858973,0.0128394713858973,1,1,0.0113256186260184,0.0113256186260184,1,1.0,0.67,1.0,1,0.51667523
12346,Adler_2018_Expt1_taskB,6,1,0.240453848316975,0.110897194423537,0.110897194423537,1,1,0.0128394713858973,0.0128394713858973,1,0.67,0.67,0.67,1,0.42937693
12347,Adler_2018_Expt1_taskB,6,0,0.412090862031619,-0.0203415694889412,0.0203415694889412,-1,1,0.110897194423537,0.110897194423537,1,0.67,0.67,0.67,1,0.30252096
12348,Adler_2018_Expt1_taskB,6,0,0.275224040862668,-0.0221215481194079,0.0221215481194079,-1,-1,0.0203415694889412,-0.0203415694889412,-1,0.67,0.67,-0.67,1,0.2509656
12349,Adler_2018_Expt1_taskB,6,0,0.515157356192503,-0.0310534214402994,0.0310534214402994,-1,-1,0.0221215481194079,-0.0221215481194079,-1,0.67,0.34,-0.67,1,0.23743366
12350,Adler_2018_Expt1_taskB,6,0,0.298469382847543,-0.0129581954968519,0.0129581954968519,-1,-1,0.0310534214402994,-0.0310534214402994,-1,0.34,0.67,-0.34,1,0.26633915
12351,Adler_2018_Expt1_taskB,6,1,0.356567343114875,-0.0219622357268992,0.0219622357268992,-1,-1,0.0129581954968519,-0.0129581954968519,-1,0.67,0.67,-0.67,0,0.33856922
12352,Adler_2018_Expt1_taskB,6,1,0.217189583694562,-0.111182726154579,0.111182726154579,-1,-1,0.0219622357268992,-0.0219622357268992,1,0.67,0.67,0.67,0,0.31294787
