Unnamed: 0,study,subj,resp,rt,evidence,absevi,signevi,prevsignevi,prevabsevi,prevsignabsevi,prevresp,prevconf,conf,prevrespconf,accuracy,criterion_fluctuations
63,Law_unpub,2,0,0.425901174545288,1.0,1.0,1,1,1.0,1.0,1,0.67,0.67,0.67,0,-2.6493375
64,Law_unpub,2,0,0.345749855041504,-0.505,0.505,-1,1,1.0,1.0,-1,0.67,0.67,-0.67,1,-2.698967
65,Law_unpub,2,0,0.685990810394287,0.01,0.01,1,-1,0.505,-0.505,-1,0.67,0.01,-0.67,0,-2.7494378
66,Law_unpub,2,0,0.669999122619629,0.01,0.01,1,1,0.01,0.01,-1,0.01,0.01,-0.01,0,-2.6273842
67,Law_unpub,2,0,1.42785787582397,-0.505,0.505,-1,1,0.01,0.01,-1,0.01,0.34,-0.01,1,-2.3082986
68,Law_unpub,2,0,0.532784938812256,0.2575,0.2575,1,-1,0.505,-0.505,-1,0.34,0.01,-0.34,0,-2.0085802
69,Law_unpub,2,1,0.853525876998901,-0.01,0.01,-1,1,0.2575,0.2575,-1,0.01,0.01,-0.01,0,-0.94503623
70,Law_unpub,2,0,0.294840097427368,0.505,0.505,1,-1,0.01,-0.01,1,0.01,0.01,0.01,0,-0.7008934
71,Law_unpub,2,1,0.282674074172974,-0.7525,0.7525,-1,1,0.505,0.505,-1,0.01,0.01,-0.01,0,0.22853017
72,Law_unpub,2,0,0.397429943084717,0.2575,0.2575,1,-1,0.7525,-0.7525,1,0.01,0.01,0.01,0,0.15424047
73,Law_unpub,2,1,0.697052955627441,-1.0,1.0,-1,1,0.2575,0.2575,-1,0.01,0.34,-0.01,0,0.765827
74,Law_unpub,2,0,0.577994823455811,-0.505,0.505,-1,-1,1.0,-1.0,1,0.34,0.34,0.34,1,0.32316178
75,Law_unpub,2,1,0.633144855499268,-0.01,0.01,-1,-1,0.505,-0.505,-1,0.34,0.34,-0.34,0,0.11082259
76,Law_unpub,2,0,0.328711986541748,0.505,0.505,1,-1,0.01,-0.01,1,0.34,0.34,0.34,0,-0.47556642
77,Law_unpub,2,1,0.257749080657959,0.01,0.01,1,1,0.505,0.505,-1,0.34,0.34,-0.34,1,-0.35048726
78,Law_unpub,2,0,0.608253955841064,0.01,0.01,1,1,0.01,0.01,1,0.34,0.01,0.34,0,-0.6325229
79,Law_unpub,2,1,0.180629014968872,0.505,0.505,1,1,0.01,0.01,-1,0.01,0.01,-0.01,1,-0.6816531
80,Law_unpub,2,0,0.190471887588501,1.0,1.0,1,1,0.505,0.505,1,0.01,0.01,0.01,0,-0.9973173
81,Law_unpub,2,1,0.339478969573975,-1.0,1.0,-1,1,1.0,1.0,-1,0.01,0.01,-0.01,0,-0.077643596
82,Law_unpub,2,0,0.469608783721924,0.505,0.505,1,-1,1.0,-1.0,1,0.01,0.01,0.01,0,-0.52902067
83,Law_unpub,2,1,0.220768928527832,0.7525,0.7525,1,1,0.505,0.505,-1,0.01,0.01,-0.01,1,-0.42644256
84,Law_unpub,2,0,0.495164155960083,-0.2575,0.2575,-1,1,0.7525,0.7525,1,0.01,0.67,0.01,1,-0.3677831
85,Law_unpub,2,1,0.633590936660767,-0.01,0.01,-1,-1,0.2575,-0.2575,-1,0.67,0.34,-0.67,0,-0.03578355
86,Law_unpub,2,0,0.585143089294434,0.01,0.01,1,-1,0.01,-0.01,1,0.34,0.01,0.34,0,-0.07822906
87,Law_unpub,2,1,0.841248989105225,-0.505,0.505,-1,1,0.01,0.01,-1,0.01,0.01,-0.01,0,0.33528593
88,Law_unpub,2,0,0.536446094512939,-0.01,0.01,-1,-1,0.505,-0.505,1,0.01,0.34,0.01,1,-0.058828972
89,Law_unpub,2,1,0.54520583152771,0.505,0.505,1,-1,0.01,-0.01,-1,0.34,0.01,-0.34,1,-0.05662267
90,Law_unpub,2,0,0.700100183486938,-1.0,1.0,-1,1,0.505,0.505,1,0.01,0.34,0.01,1,-0.11825049
91,Law_unpub,2,0,0.413049936294556,-1.0,1.0,-1,-1,1.0,-1.0,-1,0.34,0.01,-0.34,1,-0.05291714
92,Law_unpub,2,1,0.811844110488892,-0.505,0.505,-1,-1,1.0,-1.0,-1,0.01,0.01,-0.01,0,0.3513262
93,Law_unpub,2,0,0.406867980957031,-1.0,1.0,-1,-1,0.505,-0.505,1,0.01,1.0,0.01,1,-0.20775902
94,Law_unpub,2,1,0.300557851791382,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.65822065
95,Law_unpub,2,0,0.353505849838257,0.7525,0.7525,1,1,0.505,0.505,1,1.0,1.0,1.0,0,-1.3482084
96,Law_unpub,2,0,0.926789045333862,-0.7525,0.7525,-1,1,0.7525,0.7525,-1,1.0,0.01,-1.0,1,-1.5224551
97,Law_unpub,2,0,1.1557240486145,0.01,0.01,1,-1,0.7525,-0.7525,-1,0.01,0.34,-0.01,0,-1.4843456
98,Law_unpub,2,1,0.602411985397339,0.01,0.01,1,1,0.01,0.01,-1,0.34,1.0,-0.34,1,-0.83099115
99,Law_unpub,2,0,0.333775043487549,-0.505,0.505,-1,1,0.01,0.01,1,1.0,1.0,1.0,1,-0.90561885
100,Law_unpub,2,0,0.990812063217163,-1.0,1.0,-1,-1,0.505,-0.505,-1,1.0,1.0,-1.0,1,-0.95138836
101,Law_unpub,2,0,0.821219205856323,-1.0,1.0,-1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.84890026
102,Law_unpub,2,1,0.273221969604492,0.505,0.505,1,-1,1.0,-1.0,-1,1.0,1.0,-1.0,1,-0.5924765
