"study","subj","mean_conf","sd_conf","sd_criterion_fluctuations","a","sigmasq","mu_x"
"CalderTravis_unpub","27_CalderTravis_unpub",0.724656457067832,0.183891609926031,1.19434925142297,0.945311,0.19394346,0.06603518
"CalderTravis_unpub","28_CalderTravis_unpub",0.564729009349055,0.0915129916811442,0.241989803327907,0.8627386,0.08800428,0.41207525
"CalderTravis_unpub","29_CalderTravis_unpub",0.75862774999298,0.145215217171344,0.340457495487306,0.8719128,0.11754229,-0.28293395
"CalderTravis_unpub","30_CalderTravis_unpub",0.689558966836797,0.151915144353912,0.249295656593205,0.86128634,0.09214338,-0.1857812
"CalderTravis_unpub","31_CalderTravis_unpub",0.587487956071271,0.11282212122145,0.613612851430808,0.8993231,0.16904624,0.31325483
"CalderTravis_unpub","32_CalderTravis_unpub",0.535964952742867,0.0342442623821741,0.392801841654722,0.90330166,0.07777371,-0.21404195
"CalderTravis_unpub","33_CalderTravis_unpub",0.661792653354515,0.147313738193396,0.558946183282518,0.88104373,0.18891656,-0.35647506
"CalderTravis_unpub","34_CalderTravis_unpub",0.686741683381895,0.124507619237331,0.148921825238375,0.837585,0.05967414,-0.49077013
"CalderTravis_unpub","35_CalderTravis_unpub",0.662568605466573,0.219422857204877,0.330347866379152,0.86931,0.11363738,-0.4328691
"CalderTravis_unpub","36_CalderTravis_unpub",0.659831945814181,0.132671473716287,0.400329288994902,0.8660899,0.14264683,-0.81014735
"CalderTravis_unpub","37_CalderTravis_unpub",0.697535459925294,0.139855006368013,0.166234738293902,0.8444208,0.058048096,0.7128565
"CalderTravis_unpub","38_CalderTravis_unpub",0.811791670863236,0.167362548024769,0.292789219214134,0.8823647,0.07935867,-0.29175296
"CalderTravis_unpub","39_CalderTravis_unpub",0.618763602529303,0.123628681246487,0.434158911791342,0.8906093,0.11421815,-0.7697919
"CalderTravis_unpub","40_CalderTravis_unpub",0.620758273610965,0.0844982020751323,0.39564054946773,0.85849637,0.1581227,0.66138
"CalderTravis_unpub","41_CalderTravis_unpub",0.635219736649888,0.0975575384149693,0.196502947225832,0.8567775,0.06779269,1.010537
"CalderTravis_unpub","42_CalderTravis_unpub",0.634071427639782,0.0990202173930091,0.309613050390031,0.88368213,0.071484804,-0.48421085
"CalderTravis_unpub","43_CalderTravis_unpub",0.743709781180182,0.0964030090885183,0.226409470346506,0.8569812,0.08294526,-0.65693635
"CalderTravis_unpub","44_CalderTravis_unpub",0.646217294104809,0.126954532498222,0.492301262724043,0.8660054,0.20529635,-0.60611224
"CalderTravis_unpub","45_CalderTravis_unpub",0.621802031465828,0.124739351593282,0.290675652552858,0.87119955,0.08827773,-0.48346403
"CalderTravis_unpub","46_CalderTravis_unpub",0.577982737534359,0.0296867104891548,0.132477624196981,0.8458554,0.07827655,0.22033356
"CalderTravis_unpub","47_CalderTravis_unpub",0.778558345267249,0.154644576001329,0.525216279415842,0.8755593,0.20740642,-1.8331292
"CalderTravis_unpub","48_CalderTravis_unpub",0.724919923063328,0.210191132298815,0.35728670262922,0.8814042,0.10039298,0.064501874
"Denison_2018","1_Denison_2018",0.481232051875868,0.276093262659241,0.0913553242569675,0.56378233,0.112324975,-0.24680461
"Denison_2018","2_Denison_2018",0.688188976377953,0.29241620624151,0.143188861736159,0.6411266,0.13044462,-0.4276179
"Denison_2018","3_Denison_2018",0.385668789808917,0.413038792790471,0.160866997695309,0.5904085,0.2051564,-0.15597259
"Denison_2018","4_Denison_2018",0.46227883279296,0.373847185790869,0.418891323761471,0.7874394,0.25866026,-0.32265005
"Denison_2018","5_Denison_2018",0.447299675775822,0.221671923489359,0.0907545945332659,0.60349727,0.09330262,-0.43360248
"Denison_2018","6_Denison_2018",0.304267515923567,0.335193211786973,0.0541629050262114,0.555311,0.06800359,-0.36432743
"Denison_2018","7_Denison_2018",0.625979620194534,0.357706694496902,0.22297392496995,0.7084566,0.1758332,-0.32782173
"Denison_2018","8_Denison_2018",0.625062528948587,0.445783648675672,0.165862505704069,0.68205,0.12935962,0.63499796
"Denison_2018","9_Denison_2018",0.0520893300248139,0.112056039854276,0.228324590686818,0.6832919,0.22678646,0.70580727
"Denison_2018","10_Denison_2018",0.918161411010155,0.16873938905657,0.173552015619562,0.64754486,0.16803062,-0.20514733
"Denison_2018","11_Denison_2018",0.39227420101899,0.370474818492025,0.0762621100201607,0.5908914,0.078664884,0.20645148
"Denison_2018","12_Denison_2018",0.463043075497916,0.341634643114929,0.0905508106777067,0.5978584,0.09438562,0.114437
"Filevich_unpub","1_Filevich_unpub",0.383816053511706,0.371662370345449,0.687095685131287,0.8852765,0.22943564,-0.21342555
"Filevich_unpub","2_Filevich_unpub",0.226698145025295,0.303038227251295,0.0875843987320362,0.59399056,0.0915521,-1.5409379
"Filevich_unpub","3_Filevich_unpub",0.337885328836425,0.289756608610947,0.117293039032954,0.5976201,0.120448515,-0.91544014
"Filevich_unpub","4_Filevich_unpub",0.290472175379427,0.329163486732856,0.162670294961351,0.61057776,0.15149477,-0.49694586
"Filevich_unpub","5_Filevich_unpub",0.371711375212224,0.347996312567907,0.107150574801112,0.56187046,0.13407576,-0.7431973
"Filevich_unpub","6_Filevich_unpub",0.259753794266442,0.265755247253003,0.130901943706447,0.59709454,0.11772434,-0.33004802
"Filevich_unpub","7_Filevich_unpub",0.259010169491525,0.307091680782374,0.0799848832296206,0.55658245,0.10063131,-0.5043543
"Filevich_unpub","8_Filevich_unpub",0.370844221105528,0.290752802454546,0.126189234403124,0.61305285,0.11328703,-0.67024475
"Filevich_unpub","9_Filevich_unpub",0.233548387096774,0.31899313288561,0.110714846732441,0.5834729,0.11213867,-0.16854076
"Filevich_unpub","10_Filevich_unpub",0.414277591973244,0.357106363202083,0.116691473468405,0.58009905,0.12196178,-0.08533021
"Filevich_unpub","11_Filevich_unpub",0.374293015332198,0.31856760685739,0.115295900440903,0.5662886,0.13887976,-0.5052357
"Filevich_unpub","12_Filevich_unpub",0.800260105448155,0.223381382584136,0.230967541228976,0.68831515,0.16384484,-1.0200866
"Filevich_unpub","13_Filevich_unpub",0.377373493975904,0.368581558727713,0.0798348586824121,0.5469113,0.10506034,-0.21744797
"Filevich_unpub","14_Filevich_unpub",0.465469964664311,0.367361857702337,0.216929983774158,0.67492956,0.1600449,-0.6014281
"Filevich_unpub","15_Filevich_unpub",0.504637362637363,0.336754706682819,0.0979658322348498,0.5707977,0.11446045,-0.5896872
"Filevich_unpub","16_Filevich_unpub",0.55948322147651,0.31873586660303,0.0526161878032145,0.52056026,0.086451575,-0.8870222
"Filevich_unpub","17_Filevich_unpub",0.411597173144876,0.296801081014052,0.187554605066605,0.629297,0.20213017,-0.7310007
"Law_unpub","2_Law_unpub",0.464911366006257,0.40029369106779,0.925185147885157,0.7190679,1.3522643,-0.8237559
"Law_unpub","3_Law_unpub",0.410886339937435,0.244001836578557,2.3554173249155,0.90480286,1.588618,-1.4101136
"Law_unpub","4_Law_unpub",0.571240875912409,0.312503901199305,1.23947258653791,0.9284013,0.3552197,-0.47121745
"Law_unpub","5_Law_unpub",0.389207507820647,0.273008441804264,0.201734876261853,0.7902346,0.114310615,0.85808253
"Law_unpub","6_Law_unpub",0.333117831074035,0.265387764680392,1.3287481468738,0.69767207,2.5337965,-0.2547621
"Law_unpub","7_Law_unpub",0.340688216892596,0.212701447624005,2.05468536478774,0.8942209,1.3761357,-0.3429206
"Law_unpub","8_Law_unpub",0.395057351407716,0.301430777142687,0.203913986288814,0.76924086,0.12269591,-0.50949544
"Law_unpub","10_Law_unpub",0.489687174139729,0.348379646405297,0.499279355931058,0.84914553,0.25808734,0.023646643
"Law_unpub","11_Law_unpub",0.38473409801877,0.271484566271044,2.20135538588682,0.9450471,0.7487464,0.7687062
"Law_unpub","12_Law_unpub",0.320041710114703,0.27150857903222,0.407430374118794,0.8035423,0.2919129,0.124565326
"Law_unpub","13_Law_unpub",0.246058394160584,0.223970390065804,0.345279441634573,0.7542408,0.28091076,0.31346518
"Law_unpub","14_Law_unpub",0.512398331595412,0.238707558256585,0.697260369492006,0.8610042,0.41163623,-0.011548615
"Law_unpub","15_Law_unpub",0.765662148070907,0.3074250838625,0.217829385916511,0.8166763,0.10550761,-0.66313213
"Law_unpub","16_Law_unpub",0.410886339937435,0.323696271544723,0.267504235446213,0.8095745,0.12084954,-0.17713295
"Maniscalco_2017_expt2","1_Maniscalco_2017_expt2",0.34713163064833,0.334119515666926,0.558611418874628,0.93992156,0.08059528,1.2206551
"Maniscalco_2017_expt2","2_Maniscalco_2017_expt2",0.109326732673267,0.166466374226845,0.960406775822495,0.9067673,0.362457,-0.4684316
"Maniscalco_2017_expt2","3_Maniscalco_2017_expt2",0.367878192534381,0.307597076565574,0.360159153784399,0.87638324,0.11369129,0.3012708
"Maniscalco_2017_expt2","4_Maniscalco_2017_expt2",0.443732809430255,0.337611771116212,0.372286479830812,0.90818644,0.06330279,0.5926343
"Maniscalco_2017_expt2","5_Maniscalco_2017_expt2",0.29360396039604,0.44464503586658,0.704854060967564,0.9376403,0.11688067,0.58802575
"Maniscalco_2017_expt2","6_Maniscalco_2017_expt2",0.269332023575639,0.278439736365757,0.252346266469169,0.8555458,0.09707827,-0.39177054
"Maniscalco_2017_expt2","7_Maniscalco_2017_expt2",0.225893909626719,0.254921318226735,0.219777274636964,0.86956644,0.06843706,-0.4039082
"Maniscalco_2017_expt2","8_Maniscalco_2017_expt2",0.221355599214145,0.260767207842755,0.846581568648435,0.9550446,0.094939895,0.47828862
"Maniscalco_2017_expt2","9_Maniscalco_2017_expt2",0.34,0.31296255707381,1.42349490788605,0.9619639,0.22787502,-0.6086512
"Maniscalco_2017_expt2","10_Maniscalco_2017_expt2",0.205147347740668,0.234720112890887,0.692587071990569,0.9167139,0.15951276,-0.51727587
"Maniscalco_2017_expt2","11_Maniscalco_2017_expt2",0.602173913043478,0.224933911947189,0.660188452307959,0.9086054,0.16511318,-0.0040166653
"Maniscalco_2017_expt2","12_Maniscalco_2017_expt2",0.325088408644401,0.351990741818597,0.126832712851616,0.84886056,0.044132076,0.29446098
"Maniscalco_2017_expt2","13_Maniscalco_2017_expt2",0.477066929133858,0.372315452675027,0.516863273586616,0.9142999,0.107394755,-0.0785084
"Maniscalco_2017_expt2","14_Maniscalco_2017_expt2",0.548762278978389,0.357531233798185,0.432592272276348,0.89213175,0.11553991,0.65622795
"Maniscalco_2017_expt2","15_Maniscalco_2017_expt2",0.594145383104126,0.385184159967492,0.249648427511718,0.8782874,0.07257861,0.35880753
"Maniscalco_2017_expt2","16_Maniscalco_2017_expt2",0.853838582677165,0.247568111735504,0.523035712018991,0.9144349,0.13015129,0.28389397
"Maniscalco_2017_expt2","17_Maniscalco_2017_expt2",0.384734774066798,0.361510635195218,0.352268511294085,0.89651775,0.07872337,-0.6229748
"Maniscalco_2017_expt2","18_Maniscalco_2017_expt2",0.378251473477407,0.337756446202829,0.378761669572667,0.90539455,0.0795814,0.20437108
"Maniscalco_2017_expt2","19_Maniscalco_2017_expt2",0.414201183431953,0.367158061942251,0.190737284631756,0.8582723,0.06421703,0.4132732
